run_id,time_s,robot_id,step_index,center_error_cm,heading_correction_deg
0,106.03045749664307,3,0,0.8189836080459005,1.7722717181431449
0,109.24163174629211,3,0,1.4806262867755289,-3.3743197392014963
0,113.03672218322754,3,1,1.3753200329476463,-7.689753417526163
0,116.3246636390686,2,2,0.5403287302436878,1.7612117609739073
0,119.38255095481873,2,0,0.8772115185424668,-1.060992681837206
0,126.6238420009613,2,1,4.544148569055906,-8.05917847414571
0,126.6238420009613,3,1,1.0835472030725035,6.715612006104038
0,130.31658625602722,2,2,1.359157153023936,-4.025901854269705
0,130.31658625602722,3,2,0.29804792365907407,-0.7887288266168753
0,133.67147636413574,3,3,0.7126267575272014,-4.335012215649954
0,140.67251873016357,3,1,1.5159581269941795,-11.579576047378623
0,143.9987120628357,2,2,1.7135246660720298,-4.147087353306318
0,158.20357942581177,2,2,7.743520416701276,-62.53137855425513
0,158.20567893981934,3,2,0.7519737823411593,4.305122956423929
0,162.19600248336792,3,3,0.7575938593802968,2.276006222180399
0,169.04549956321716,3,1,1.9155354599998933,-12.696368839813545
0,172.43823146820068,2,2,1.136693775334676,2.106332870106854
0,175.71235036849976,2,3,1.1776779950206333,0.8096834435175424
0,175.71285891532898,3,3,0.5045268035737938,5.549920010179164
0,182.11615991592407,2,0,1.9982419378795364,-10.80677492351603
0,185.41767406463623,2,0,2.497531777368562,-2.4634474147984236
0,189.17005705833435,2,0,2.1314525825919644,-7.0588091066280185
0,195.9118571281433,2,1,1.7024003988809435,-9.615313087996697
0,195.9118571281433,3,1,0.2900208114463742,-0.579451504187773
0,199.35570096969604,2,2,1.2027673969816883,-2.748244603457465
0,199.35570096969604,3,2,0.6655146131824985,-4.497964241652312
0,202.44478607177734,2,0,2.2482425146069374,-2.394861061408619
0,206.2976632118225,3,1,3.346006484407463,-20.93973509951573
0,210.0406768321991,2,2,3.2039984146476765,-6.111319149657447
0,210.0406768321991,3,2,1.695766085479492,-2.150363404979487
0,213.79921436309814,2,3,4.280368566457173,-11.016689991932253
